Iteration	Posterior	Likelihood	Prior	distance_scale	extirpation_rate	log10_rate_bg	rate_bg
2670	-28.7594	-23.7436	-5.01586	0.01	0.9805635	-2.053818	0.008834503
2680	-29.0786	-24.2188	-4.85974	0.01	0.5517775	-2.080064	0.008316418
2690	-31.8578	-25.0128	-6.84503	0.01	1.906431	-1.644755	0.02265924
2700	-28.958	-23.3411	-5.61681	0.01	1.320847	-2.255645	0.005550794
2710	-29.3094	-23.4401	-5.8693	0.01	1.445773	-2.373135	0.004235111
2720	-28.884	-24.0989	-4.78504	0.01	0.762846	-2.022307	0.009499322
2730	-28.86	-24.0814	-4.77855	0.01	0.7500397	-2.033235	0.009263291
2740	-28.8022	-23.4864	-5.31573	0.01	1.162497	-2.293097	0.005092175
2750	-28.6389	-23.5439	-5.09495	0.01	1.03275	-2.243846	0.005703665
2760	-28.9442	-23.9269	-5.01737	0.01	0.9816002	-1.988144	0.01027675
2770	-28.6514	-23.836	-4.81546	0.01	0.8077692	-2.37787	0.004189188
2780	-29.8165	-24.055	-5.7615	0.01	1.393021	-2.597025	0.002529155
2790	-28.6743	-23.9106	-4.76366	0.01	0.6779245	-2.361412	0.004350986
2800	-29.0858	-24.0496	-5.03618	0.01	0.4750257	-2.306703	0.004935109
2810	-31.8389	-23.5113	-8.32758	0.01	2.61162	-2.55643	0.002776964
2820	-33.2799	-21.8938	-11.3861	0.01	4.240698	-1.833554	0.01467053
2830	-30.3098	-23.6817	-6.62804	0.01	1.805067	-2.527794	0.002966237
2840	-30.8081	-25.8469	-4.96125	0.01	0.501769	-3.028288	0.0009369401
2850	-35.7022	-30.9012	-4.80094	0.01	0.788378	-1.442325	0.03611397
2860	-33.6518	-24.0389	-9.61282	0.01	3.261434	-2.72859	0.001868143
2870	-28.6546	-23.5343	-5.12032	0.01	1.048663	-2.249815	0.005625808
2880	-30.3159	-22.648	-7.66789	0.01	2.293584	-2.025489	0.009429984
2890	-31.2376	-22.3924	-8.84519	0.01	2.868013	-1.935914	0.01159008
2900	-29.2344	-23.505	-5.72941	0.01	1.377164	-2.387026	0.004101792
2910	-29.2586	-23.9374	-5.32119	0.01	1.165514	-1.925279	0.01187738
2920	-30.1153	-23.3771	-6.73823	0.01	1.856544	-1.875611	0.01331646
2930	-29.2554	-24.1926	-5.06279	0.01	1.012053	-2.591494	0.00256157
2940	-31.1986	-22.8053	-8.39332	0.01	2.643825	-2.336546	0.004607384
2950	-28.9373	-23.4428	-5.49452	0.01	1.258175	-2.309315	0.004905524
2960	-28.5464	-23.7268	-4.81961	0.01	0.8128733	-2.238771	0.005770707
2970	-30.6678	-25.4002	-5.2676	0.01	1.135592	-1.722157	0.01896022
2980	-31.8598	-24.5958	-7.26398	0.01	2.102631	-1.661215	0.02181648
2990	-32.1166	-21.9384	-10.1782	0.01	3.562403	-1.984034	0.01037446
3000	-32.1731	-22.3081	-9.86502	0.01	3.394455	-2.254584	0.005564369
3010	-29.9999	-22.7851	-7.21481	0.01	2.07953	-2.040219	0.009115512
3020	-30.0769	-25.1982	-4.87871	0.01	0.8739255	-2.878882	0.001321654
3030	-28.8475	-24.0816	-4.76589	0.01	0.6629362	-2.469534	0.003392077
3040	-28.7026	-23.9211	-4.78149	0.01	0.6247479	-2.203751	0.006255317
3050	-28.6557	-23.6578	-4.99797	0.01	0.9680733	-2.325736	0.0047235
3060	-28.6061	-23.7125	-4.89361	0.01	0.8871598	-2.132043	0.007378316
3070	-28.5484	-23.742	-4.80635	0.01	0.7959222	-2.239802	0.005757028
3080	-30.6067	-25.7718	-4.83494	0.01	0.5687685	-1.805292	0.01565697
3090	-28.7626	-23.8201	-4.94253	0.01	0.9271585	-2.416655	0.003831293
3100	-28.7795	-23.8682	-4.91122	0.01	0.9021049	-2.434379	0.003678076
3110	-28.6021	-23.6882	-4.91384	0.01	0.904266	-2.138073	0.007276576
3120	-29.1648	-23.7054	-5.4594	0.01	1.239818	-2.445979	0.00358114
3130	-30.9489	-25.4396	-5.50922	0.01	1.26581	-2.964573	0.001084994
3140	-31.0015	-26.0645	-4.93706	0.01	0.9228988	-3.102798	0.0007892271
3150	-28.9083	-24.0463	-4.86206	0.01	0.5503326	-2.394934	0.004027785
3160	-30.1385	-22.9232	-7.21528	0.01	2.079749	-2.274944	0.005309529
3170	-28.5991	-23.7254	-4.8737	0.01	0.8693282	-2.136789	0.007298114
3180	-30.0939	-22.7061	-7.38783	0.01	2.160945	-2.087069	0.008183346
3190	-29.6398	-24.3858	-5.25398	0.01	1.127863	-2.669279	0.002141515
3200	-29.3764	-23.5226	-5.85383	0.01	1.43825	-2.410082	0.003889718
3210	-29.5582	-23.6657	-5.89252	0.01	1.457047	-1.907259	0.01238059
3220	-29.8468	-23.2536	-6.59324	0.01	1.788801	-2.367345	0.004291958
3230	-29.5055	-22.9871	-6.5184	0.01	1.753793	-2.096196	0.008013155
3240	-35.1325	-27.4114	-7.72112	0.01	2.318934	-3.44384	0.0003598816
3250	-31.4934	-25.5959	-5.89748	0.01	0.3236604	-2.94914	0.001124242
